days,departure_date,now,pageid,price,title,titleid,titleurl,total
5,2019-03-09,0,P001,12900,"★冬季限定版★小資山東體驗~小合掌村、天鵝湖五天(無購物)",YNT05190309A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT05190309A,20
5,2019-03-09,20,P001,14999,"越來越嗨北越雙龍灣摩天輪五日遊(越捷四星版+購物)",HAN05190309C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190309C,20
5,2019-03-09,20,P001,15500,"越來越超值北越長安雙龍灣五日遊(越捷三星飯店+購物)",HAN05190309D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190309D,20
5,2019-03-09,16,P001,15900,"宿霧~雙跳島~輕鬆走4+1日遊-《二人成行-虎航》",CEB04190309A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190309A,16
5,2019-03-09,16,P001,17900,"宿霧~雙跳島●歐斯陸~超值4+1日遊-《二人成行-虎航》",CEB04190309B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190309B,16
5,2019-03-09,20,P001,18000,"驚喜泰越捷時尚遊艇五日【台中直飛】(泰越捷)",BKK05190309A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK05190309A,20
5,2019-03-09,20,P001,19500,"越來越嗨北越雙龍灣海上VILLA五日遊(越捷四星+皇海號+購物)",HAN05190309E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190309E,20
8,2019-03-09,0,P001,19900,"★冬季版★攻略山東~觀天鵝、海鷗情緣8天(單飛)",YNT08190309A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT08190309A,16
8,2019-03-09,0,P001,19900,"★冬季版★攻略山東~觀天鵝、海鷗情緣8天(單飛)",YNT08190309B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT08190309B,21
5,2019-03-09,0,P001,20900,"愛SUN三亞乾靓海南五日",HAK05190309A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAK05190309A,18
5,2019-03-09,16,P001,22900,"宿霧~薄荷島●歐斯陸~全覽4+1日遊-《二人成行-虎航》",CEB04190309C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190309C,16
5,2019-03-09,20,P001,23000,"【泰航】玩泰瘋奇幻島五日",BKK05190309B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK05190309B,20
5,2019-03-09,20,P001,28000,"【泰航】泰奢華五星半島五日（全程無購物）",BKK05190309C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK05190309C,20
5,2019-03-17,18,P001,20200,"「越來越好玩」深度風情北越長安雙龍灣五日(四星飯店)(華信)",HAN05190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190317A,18
6,2019-03-17,14,P001,22900,"宿霧~薄荷●雙跳島●歐斯陸~超值5+1日-《二人成行-虎航》",CEB05190317B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190317B,16
